PLAYER_ID,PLAYER_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TOV_PCT,E_USG_PCT,E_PACE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,E_DEF_RATING_RANK,E_NET_RATING_RANK,E_AST_RATIO_RANK,E_OREB_PCT_RANK,E_DREB_PCT_RANK,E_REB_PCT_RANK,E_TOV_PCT_RANK,E_USG_PCT_RANK,E_PACE_RANK
1630175,Cole Anthony,54,30,24,0.556,23.0,111.2,109.8,1.4,19.5,0.045,0.162,0.103,11.275,0.238,99.07,19,69,410,228,203,275,146,196,209,238,172,196,51,91,438
203484,Kentavious Caldwell-Pope,50,34,16,0.68,31.9,120.2,110.7,9.5,19.4,0.015,0.066,0.041,8.206,0.131,99.07,98,32,258,80,68,29,181,56,211,454,494,509,51,439,438
1641738,Kobe Brown,32,23,9,0.719,8.7,113.4,120.7,-7.3,19.6,0.039,0.145,0.089,8.057,0.108,99.06,308,164,135,49,415,211,500,399,207,275,219,258,51,500,440
1627826,Ivica Zubac,43,28,15,0.651,26.5,117.3,108.9,8.4,11.3,0.137,0.259,0.201,10.081,0.165,99.02,202,98,235,112,152,92,123,76,435,27,39,23,51,297,441
1629312,Haywood Highsmith,40,23,17,0.575,21.2,109.3,110.4,-1.0,15.0,0.044,0.111,0.077,8.915,0.125,99.0,232,164,290,208,221,342,166,265,334,246,367,329,51,460,442
200768,Kyle Lowry,37,21,16,0.568,28.0,111.8,110.3,1.5,31.9,0.027,0.121,0.072,11.51,0.134,98.99,257,205,258,215,127,257,159,194,39,356,325,357,51,422,443
1629650,Moses Brown,9,2,7,0.222,9.1,96.8,120.8,-24.0,7.0,0.225,0.378,0.299,13.908,0.135,98.99,457,469,112,459,406,499,502,519,505,5,5,3,51,420,443
203932,Aaron Gordon,49,31,18,0.633,31.7,117.5,111.7,5.9,19.1,0.089,0.145,0.117,8.655,0.176,98.99,128,52,320,127,72,89,219,107,223,101,220,164,51,248,443
1628976,Wendell Carter Jr.,29,14,15,0.483,26.2,111.1,110.2,0.8,13.5,0.079,0.214,0.146,10.004,0.171,98.98,331,279,235,302,158,278,157,207,376,121,89,95,51,268,446
1631128,Christian Braun,55,36,19,0.655,19.0,106.7,111.5,-4.7,16.2,0.046,0.15,0.098,7.665,0.163,98.97,6,18,335,108,247,400,213,352,296,231,205,220,51,308,447
202710,Jimmy Butler,37,19,18,0.514,33.9,115.3,111.2,4.1,19.8,0.068,0.117,0.092,7.325,0.245,98.95,257,228,320,268,42,153,200,143,200,154,343,245,51,79,448
1631115,Orlando Robinson,24,13,11,0.542,10.0,111.0,110.1,0.9,23.8,0.095,0.232,0.164,12.328,0.158,98.95,356,297,174,248,394,283,154,206,119,85,63,69,51,334,448
1630183,Jaden McDaniels,45,31,14,0.689,28.7,115.9,108.0,8.0,11.3,0.035,0.071,0.054,10.895,0.161,98.95,176,52,220,71,119,138,105,80,436,294,487,466,51,323,448
203897,Zach LaVine,25,10,15,0.4,34.9,109.0,113.8,-4.8,17.2,0.01,0.153,0.081,9.102,0.244,98.94,349,330,235,372,26,351,317,353,270,487,197,313,51,82,451
201144,Mike Conley,50,37,13,0.74,28.9,114.4,104.8,9.6,40.1,0.017,0.093,0.058,6.604,0.148,98.86,98,12,203,42,116,184,56,54,14,445,437,443,51,373,452
1630625,Dalano Banton,27,18,9,0.667,8.9,105.7,109.4,-3.7,18.6,0.057,0.133,0.096,12.649,0.188,98.86,344,241,135,88,412,430,136,332,233,187,276,231,51,204,452
1630592,Jalen Wilson,16,3,13,0.188,14.6,114.6,122.8,-8.2,21.7,0.086,0.126,0.104,4.331,0.13,98.82,412,448,203,470,318,174,511,419,157,107,301,193,1,447,454
1630678,Terry Taylor,18,8,10,0.444,7.3,113.6,104.1,9.5,14.5,0.115,0.102,0.108,16.892,0.118,98.81,393,363,152,336,443,203,51,56,353,58,405,182,502,480,455
1628371,Jonathan Isaac,37,23,14,0.622,14.8,113.2,101.0,12.2,7.2,0.097,0.228,0.164,8.42,0.175,98.81,257,164,220,143,313,219,32,35,503,82,67,72,51,252,455
1630692,Jordan Goodwin,42,25,17,0.595,14.6,108.0,109.2,-1.2,24.5,0.08,0.143,0.113,9.051,0.183,98.8,217,136,290,177,319,374,130,270,112,119,231,169,51,226,457
1629717,Armoni Brooks,10,3,7,0.3,10.4,125.8,115.2,10.6,9.1,0.068,0.106,0.087,5.466,0.195,98.77,448,448,112,423,388,12,364,42,481,151,388,277,51,182,458
202696,Nikola Vucevic,50,24,26,0.48,34.4,111.9,112.6,-0.7,16.0,0.085,0.262,0.172,6.823,0.233,98.77,98,148,439,305,31,254,258,257,306,108,38,54,51,103,458
1630245,Ayo Dosunmu,53,26,27,0.491,25.5,111.5,112.5,-0.9,19.7,0.027,0.083,0.054,9.349,0.162,98.74,42,119,453,295,174,268,255,263,204,355,464,468,51,317,460
1629008,Michael Porter Jr.,54,36,18,0.667,31.6,117.8,112.3,5.5,9.0,0.047,0.195,0.122,6.778,0.2,98.73,19,18,320,88,76,79,244,115,482,228,118,152,51,170,461
1631107,Nikola Jovic,22,10,12,0.455,16.6,115.2,105.7,9.5,23.3,0.052,0.216,0.136,11.63,0.167,98.72,368,330,184,329,288,156,61,56,128,208,86,114,51,288,462
202684,Tristan Thompson,36,24,12,0.667,12.4,118.4,112.2,6.1,22.9,0.159,0.196,0.178,13.182,0.132,98.7,274,148,184,88,354,57,237,106,137,16,117,46,51,433,463
1630322,Lindy Waters III,23,16,7,0.696,7.3,104.5,113.1,-8.7,17.6,0.006,0.143,0.074,5.882,0.148,98.7,358,260,112,67,442,450,275,430,258,497,233,349,51,373,463
